epoch,head,loss,lr,mid_bot,mid_top,tail,val_head,val_loss,val_mid_bot,val_mid_top,val_tail
0,0.00016500648052897304,0.0002598941791802645,1e-04,0.00030952098313719034,0.000340426922775805,0.0002246223739348352,0.00027414128999225795,0.0002565803879406303,0.0003045798512175679,0.00012829841580241919,0.00031930216937325895
1,0.00010018329339800403,0.00019471798441372812,1e-04,0.00021989690139889717,0.00026515740319155157,0.00019363444880582392,0.0003357334644533694,0.000284987676423043,0.00023372910800389946,0.00023175978276412934,0.0003387283650226891
2,9.642206714488566e-05,0.00017318656318821013,1e-04,0.00019248930038884282,0.0002614296099636704,0.0001424053480150178,0.000505852687638253,0.0004475520981941372,0.00038247587508521974,0.0004743691242765635,0.00042751061846502125
3,0.00010248886974295601,0.00017805963580030948,1e-04,0.00017311771807726473,0.0002822436217684299,0.00015438850095961243,0.00043889068183489144,0.00033082187292166054,0.00021166933584026992,0.0003441674925852567,0.0003285599814262241
4,7.072879816405475e-05,0.00013046833919361234,1e-04,0.00013737175322603434,0.00020104092254769057,0.00011273202107986435,0.0003852785157505423,0.0003731468168552965,0.0002470265608280897,0.00039178389124572277,0.00046849812497384846
5,6.616584869334474e-05,0.00012185631203465164,1e-04,0.0001388305681757629,0.00016141679952852428,0.00012101220636395738,0.00048573623644188046,0.0003998244064860046,0.00030361165408976376,0.00037169302231632173,0.0004382568004075438
6,3.077711517107673e-05,8.46099792397581e-05,5e-05,9.003451850730926e-05,0.00013094881433062255,8.667940710438415e-05,0.0004113521135877818,0.00036425411235541105,0.0002812037419062108,0.0003553868446033448,0.0004090738366357982
7,1.5473158782697283e-05,6.115942960605025e-05,5e-05,5.956600944045931e-05,0.00010281339928042144,6.67853164486587e-05,0.00043242392712272704,0.00035663944436237216,0.00027062156004831195,0.0003504530468489975,0.0003730592434294522
8,1.1541695130290464e-05,5.87875401834026e-05,5e-05,6.236843182705343e-05,9.462289744988084e-05,6.661719817202538e-05,0.00043805333552882075,0.00037364568561315536,0.00026130606420338154,0.000371241825632751,0.00042398174991831183
9,3.1432817195309326e-05,6.531382678076625e-05,5e-05,6.571083213202655e-05,0.00010464301885804161,5.946851524640806e-05,0.0004440981720108539,0.000390675530070439,0.00028043033671565354,0.00038085420965217054,0.0004573193727992475
10,1.8807229935191572e-05,5.873523332411423e-05,5e-05,5.028749001212418e-05,0.00010290506907040253,6.294120248639956e-05,0.0004548339929897338,0.00039248523535206914,0.0002846433490049094,0.00039628511876799166,0.0004341782769188285
